artist_name,track_name,track_id,popularity
Cosmic Gate,Nothing To Hide (Mixed),6bMQcLhzqjLoWAKEeGSwF7,46
Sebastian Yatra,Dos Oruguitas,5rohUzwEoRsUvAA1Bf3DLo,86
Armin van Buuren,Sirius (Mixed),4KqgEV5NI6Kiw8IYIUI9cW,47
Muni Long,Hrs and Hrs,3xRH6FPVtheDyNla3T1FE7,88
Above & Beyond,Almost Home (Mixed) - Above & Beyond Club Mix,1F1s5kY1q4HYDb3wXlRRq6,46
Adele,Oh My God,3Kkjo3cT83cw09VJyrLNwX,93
Armin van Buuren,Jonson's Play (Mixed),368O0lgEuKfKpuAV5IkKpw,46
Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr,90
Armin van Buuren,Hold On (Mixed) - Club Mix,49bB6BilfuQycwRTt8faR3,46
BoyWithUke,Toxic,2gQPv5jvVPqU2a9HhMNO1v,93
Tinlicker,Children (Mixed),2jIyY91zgWZGu0Fqhp0PSr,46
Olivia Rodrigo,drivers license,5wANPM4fQCJwkGd4rN57mH,92
Scorz,Poison (Mixed) - Club Mix,6iLbE3BU0lwb8oUtzxpHY3,46
Doja Cat,You Right,0k4d5YPDr1r7FX77VdqWez,89
AVIRA,Ocean (Mixed),5LR1lsoTR1rKX1C1mvYlPL,46
Doja Cat,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,88
Binary Finary,1998 (Mixed) - Jose De Mara Remix,1rF2fMWEJcLIFD63KUrjfl,46
Rod Wave,By Your Side,2AaJeBEq3WLcfFW1y8svDf,83
MaRLo,This Way (Mixed),5VKciNViGkGbbxE1gPAtzx,45
Yeat,Monëy so big,7BbaIYAdi3pg4MGl6PHwPv,85
Sian Evans,Hide U (Mixed) - Tinlicker Remix,7jjWMFsG6OUmcSyykcvLBV,45
Cochise,Tell Em,7nc7mlSdWYeFom84zZ8Wr8,86
Armin van Buuren,Divino (Mixed),5on6OgMhzztqxOku6EXOfW,45
Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,92
will.i.am,I Like To Move It,0ZmKLjmYt7ESXU0FM6dZz9,39
Farruko,Pepas,5fwSHlTEWpluwOM0Sxnh5k,94
AVIRA,Gold (Mixed),1AylRHyRUkTQ2qIVe2eaSw,45
Bad Bunny,Yonaguni,2JPLbjOn0wPCngEot2STUS,94
Elvis Costello & The Attractions,Lip Service - 2021 Remaster,23acMIboTpqnM5kueS7GV8,32
Drake,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,88
York,On The Beach (Mixed) - Kryder Remix,0HNtEZmbur1t0geqk4IvNP,45
Latto,Big Energy,6Zu3aw7FfjAF9WA0fA81Oq,83
Elvis Costello & The Attractions,Little Triggers - 2021 Remaster,2N8YyefuTvFIbgCiCYoXVU,32
Baby Keem,family ties (with Kendrick Lamar),7Bpx2vsWfQFBACRz4h3IqH,84
Ilan Bluestone,Paid For Love (Mixed),3JrvGvHNqvoKqPb16t9EhF,44
Jordan Davis,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,83
Andrew Rayel,Ascendit ad Paradisum (Mixed),1ciQlDmccRWrY3wQEhQuLi,44
Stephanie Beatriz,All Of You,4X25mFLehFnxa1TwtLKcE2,85
